100	2.232000	2.094000
200	0.289000	3.288000
300	1.365000	4.246000
400	0.613000	6.761000
500	2.536000	6.488000
1000	7.132000	10.466000
1500	8.971000	15.485000
2000	12.764000	20.209000
2500	21.826000	22.397000
3000	17.245000	29.029000
3500	29.127000	31.221000
4000	34.253000	34.153000
4500	34.347000	39.835000
5000	37.901000	44.718000
5500	38.730000	47.837000
6000	48.182000	48.540000
6500	49.388000	53.116000
7000	57.114000	58.477000
7500	52.931000	61.966000
8000	56.694000	68.460000
8500	70.867000	72.256000
9000	75.320000	75.333000
9500	77.261000	81.617000
10000	78.844000	79.954000
10500	82.187000	89.186000
11000	87.521000	93.124000

